id,area,requirement,positive_proof,negative_or_hostile_proof,minimum_layers
H015-DES-004,Designer,"Animated assets use one canonical representative preview frame","Palette, layers and inspector show governed frame and aspect ratio","Full sprite-sheet thumbnails or unexplained UI crop constants fail","UNIT,COMPONENT,E2E"
H015-DES-005,Designer,"Level metadata, canvas, grid, background, seed and player spawn are editable","Save, reload and preview prove typed values persist and execute","Invalid bounds, duplicate enabled spawn and immutable-field edits fail","API,COMPONENT,E2E"
H015-DES-006,Designer,"Entities and mixed formations expose complete governed configuration","Membership, layout, bounds, spacing, motion, timing and repeat round-trip","Invalid member, unsafe profile, overlap rule or missing field fails validation","API,COMPONENT,E2E"
H015-DES-007,Designer,"Hazards, placed hazards, shields and destructible matrices are fully editable","Every runtime field round-trips and changes exact-checksum preview","Invalid ranges, missing assets or budget overflow fail","API,COMPONENT,E2E"
H015-DES-008,Designer,"Drops, objectives, Boarding anchors, gameplay, scoring and budgets are editable","Every Level 1-6 differing value has a usable typed control or governed exception","Source-only, seed-only or UI-shadow configuration fails","API,COMPONENT,E2E"
H015-DES-009,Designer,"Draft save is immutable, refresh-safe and checksum-addressable","Material edits save a new version and survive full refresh/relogin","In-place historical mutation, stale checksum or lost edit fails","API,E2E"
H015-DES-010,Designer,"Exact-checksum preview uses the same configuration authority as runtime","Moved object, formation, composition and hazard changes appear in preview","Seed fallback, source constant or checksum mismatch fails","API,E2E"
H015-PUB-001,Publication,"Only authorised internal administrators publish CORE content","Authorised publication creates immutable version and audit record","Anonymous, customer and organisation attempts fail server-side","API,E2E"
H015-PUB-002,Publication,"Published Designer changes appear in a newly started ordinary campaign","New campaign resolves new release and visibly plays all material changes","Old seed, cached release or hard-coded runtime fallback fails","API,E2E"
H015-PUB-003,Publication,"Existing active campaigns remain pinned to their original release","Campaign created before publication continues on old checksums","Silent mutation to the new release fails","API,E2E"
H015-PUB-004,Publication,"Rollback publishes a new version derived from selected history","Restored baseline appears in a new campaign with complete audit lineage","Destructive rewrite or deletion of history fails","API,E2E"
H015-PUB-005,Publication,"Campaign publication accepts ordered gap-free campaigns of six or more entries","Six- and seven-level publications succeed and Continue follows pinned order","Gaps, duplicate/non-positive sequence or unpublished entry fails","UNIT,API,E2E"
H015-PUB-006,Publication,"Administration identifies current draft, published version and containing release","Every Level 1-6 view exposes unambiguous identities and preview status","Ambiguous, stale or ranked-preview labelling fails","API,E2E"
H015-BOARD-001,Boarding,"Board and Continue are distinct governed actions","Board enters interior; Continue resumes Shooter/campaign according to state","Either action entering the wrong scene or loop fails","UNIT,E2E"
H015-BOARD-002,Boarding,"A visible entry airlock begins a physical interior journey","Ordinary input enters at the governed entry and traverses away from it","Teleport-only entry, missing airlock or incorrect anchor fails","UNIT,E2E"
H015-BOARD-003,Boarding,"Platform combat includes movement, jump, fire, enemies, health and collisions","Ordinary input demonstrates patrol/engage, projectiles, hits and elimination","Static enemies, non-colliding shots or invulnerable states fail","UNIT,E2E"
H015-BOARD-004,Boarding,"Player and alien governed animation states are visible","Idle, move, jump/fall, fire, hit and death states use admitted metadata","Static crop, unexplained frame constants or missing required state fails","UNIT,E2E"
H015-BOARD-005,Boarding,"Visible far exit succeeds only after the interior objective","Physical arrival after completion synchronises position then completes server-side","Early exit, stale-position rejection or hidden completion fails","UNIT,API,E2E"
H015-BOARD-006,Boarding,"Pause and ESC present Resume, confirmed Abort and authorised Main Menu","Resume continues; confirmed abort returns to exact Shooter checkpoint","Immediate abort, loop, duplicate offer or state loss fails","UNIT,E2E"
H015-BOARD-007,Boarding,"Success, death and API failure have safe deterministic outcomes","Each path preserves or changes campaign resources according to contract","Double completion, stuck session or ungoverned fallback fails","UNIT,API,E2E"
H015-AUTH-001,Security,"Admin, Command Post and player surfaces enforce server-side roles and ownership","Authorised role succeeds only for owned scope","Anonymous, wrong-role and cross-organisation access fails","UNIT,API,E2E"
H015-AUTH-002,Security,"Login redirects use one same-origin internal-path validator","Valid internal next succeeds","External, protocol-relative, backslash, encoded and active-protocol forms fail","UNIT,COMPONENT,E2E"
H015-AUTH-003,Security,"Player account provides visible CSRF-protected logout","Logout clears session and returns to public route","Missing/invalid CSRF and post-logout API access fail","API,COMPONENT,E2E"
H015-AUTH-004,Security,"Django Admin remains diagnostic and is not the product authoring authority","Product administration performs all governed CORE workflows","Production/public Django Admin and product-control substitution fail","API,E2E"
H015-QUAL-001,Quality,"Formatting, lint, type checking and test commands are deterministic and enforced","Clean checkout executes documented commands successfully","Introduced violation fails CI","CI"
H015-QUAL-002,Quality,"Changed high-risk code has maintainable test seams and human-readable structure","Review confirms cohesive modules, typed contracts and decision comments","God-file growth, duplicate logic or unexplained constants fails review","UNIT,REVIEW"
H015-QUAL-003,Quality,"Coverage and test-effectiveness gates prevent assertion-free success","Thresholds pass and a controlled fault is detected by relevant tests","Empty test, removed assertion or deliberate mutation surviving fails","CI"
H015-QUAL-004,Quality,"Final exact-SHA closure is independently reproducible and fail-closed","Clean launcher, CI artifacts and closure audit agree with zero failed/pending rows","Dirty tree, provenance mismatch, manual PASS, missing artifact or injected defect fails","CI,E2E,REVIEW"
